Index,Mainnet_Public_Key,Action,Amount_Asset,Transaction_Hash,StellarExpert_Link
1,"GDT4ERHDZKTVWLOHE6I44HATOVKB56CDOJLBN5LX6SBRRCXIR3M3JVK5","Gullak Vault Deposit","250.00 XLM","24d141f8769bc64850a96fd416c9ea342d80797171a6201d526f6415db6d38ab","https://stellar.expert/explorer/public/account/GDT4ERHDZKTVWLOHE6I44HATOVKB56CDOJLBN5LX6SBRRCXIR3M3JVK5"
2,"GCJQOBMY3GX35EE4H2ZRKSHSD456BUR7NQ5H3YBF332HFLPML3I3CWOX","sXAU Metals Swap","0.0400 sXAU","6733011d9e078f35b5077ece421003fffbb2ca69cc9c61c54ed09bc9517056a5","https://stellar.expert/explorer/public/account/GCJQOBMY3GX35EE4H2ZRKSHSD456BUR7NQ5H3YBF332HFLPML3I3CWOX"
3,"GADIFWHAVXRPHVQAHJSOS3TSBOZLO4JQGKYAK3DTPPXFNTBUKRPHXZRV","sXAG Metals Swap","15.00 sXAG","3af779176af5e6da6352d8cf382e782eed9e5fb411f9c5ebd73f2988493012db","https://stellar.expert/explorer/public/account/GADIFWHAVXRPHVQAHJSOS3TSBOZLO4JQGKYAK3DTPPXFNTBUKRPHXZRV"
4,"GDYC5DNE2F6GJUF35NGP2PCF547CMSYJL2RZ7JMOSDCPKOIT53G5SD3T","USDC Collateral Loan","400.00 USDC","758ce4057c456784aad9db8baa114e300877c7ded6e9858df7efef215ff9dc55","https://stellar.expert/explorer/public/account/GDYC5DNE2F6GJUF35NGP2PCF547CMSYJL2RZ7JMOSDCPKOIT53G5SD3T"
5,"GB2OHY65OZKHDYTNA32FXN5A2OT2OBHXTL26KEIIVEGIDKWZBSPLQXKG","P2P Micro-Gift","250.00 XLM","00d43a0db72c0d696718984476f677b107a30c8b9d417e7978825f8ce521cf74","https://stellar.expert/explorer/public/account/GB2OHY65OZKHDYTNA32FXN5A2OT2OBHXTL26KEIIVEGIDKWZBSPLQXKG"
6,"GABOVYPACTEJZWPB7WIO7KFUAHGCAXOOQ52KTEGD7BYXVEXSQXJBKIQM","Soroban Execution","250.00 XLM","6b3ac780773b972790e83d794d9d32191172631592ae7347d2c50cc75ba75137","https://stellar.expert/explorer/public/account/GABOVYPACTEJZWPB7WIO7KFUAHGCAXOOQ52KTEGD7BYXVEXSQXJBKIQM"
7,"GCGLADP66DZ3GBUSCOJNPRWKD5CMJ6XZ3KA3IKPTHJ6HZ23MCJYYKEHT","Gullak Vault Deposit","250.00 XLM","71846c4829c211e5d5fed12b36c18e5dc445e961b6c23b0e41f0f55f4cf2bc72","https://stellar.expert/explorer/public/account/GCGLADP66DZ3GBUSCOJNPRWKD5CMJ6XZ3KA3IKPTHJ6HZ23MCJYYKEHT"
8,"GAP7CJUPEZVSZYSJGKWYNPFPLDEKXTPHWNITWP4PN36IV2NSX3MGXCM5","sXAU Metals Swap","0.0600 sXAU","e0ab96a3290159cd2c56284f5cc93f0b73ba31f4ce15482fffa8633f706e9901","https://stellar.expert/explorer/public/account/GAP7CJUPEZVSZYSJGKWYNPFPLDEKXTPHWNITWP4PN36IV2NSX3MGXCM5"
9,"GB3BURRSJYURHPKSKPKOSSFRFWJIRIL5G6FTSYXJKJC53M2C6UY6OLSU","sXAG Metals Swap","20.00 sXAG","b844a3e48eb43e6f2c80c9e6f6034ccb2d14bc5e90f1ab22fca3318b215fabea","https://stellar.expert/explorer/public/account/GB3BURRSJYURHPKSKPKOSSFRFWJIRIL5G6FTSYXJKJC53M2C6UY6OLSU"
10,"GDC45HGPGQ3P7642VXVAL3FIKGVYPMVGK7XFHDV7WBQBWMPIMAM2PWPB","USDC Collateral Loan","500.00 USDC","ac572c32e9f2580ffba6bd8bb5a140594d3d9d1bdaa7623d01b16bcb147467d1","https://stellar.expert/explorer/public/account/GDC45HGPGQ3P7642VXVAL3FIKGVYPMVGK7XFHDV7WBQBWMPIMAM2PWPB"
