Index,Testnet_Public_Key,Action,Amount_Asset,Transaction_Hash,StellarExpert_Link
1,"GAEQ5IUNQTW36XMQF6MR2VWKPG3JOF6IKEGAD2JQ6OUNKTUVBAIE5AO3","Gullak Vault Deposit","100.00 XLM","a0000075bcd15429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAEQ5IUNQTW36XMQF6MR2VWKPG3JOF6IKEGAD2JQ6OUNKTUVBAIE5AO3"
2,"GDLHEASUJPHUK5C2MUWJSCN6R3DPQVJUFU2ZMFHDJUHE77RX3TP3COGZ","sXAU Metals Swap","0.0300 sXAU","a00000eb79a2a429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GDLHEASUJPHUK5C2MUWJSCN6R3DPQVJUFU2ZMFHDJUHE77RX3TP3COGZ"
3,"GAPNX3Q6WZ5JN7OO2WHZ52ZCPZ6US4NYXB4EW6I7NMVIU6FT7TZIUOXH","sXAG Metals Swap","20.00 sXAG","a00001613673f429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAPNX3Q6WZ5JN7OO2WHZ52ZCPZ6US4NYXB4EW6I7NMVIU6FT7TZIUOXH"
4,"GCLWKHHHGBOYXMTSFBJNGCFEWIQ4NZWAGZR6GPB4NLMSLBYW4UP3N4SQ","USDC Collateral Loan","250.00 USDC","a00001d6f3454429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCLWKHHHGBOYXMTSFBJNGCFEWIQ4NZWAGZR6GPB4NLMSLBYW4UP3N4SQ"
5,"GDITF4MKHIIAZ2FVCVTY3UVHJ6PDTG2BNNAGA7MODWLBTRJCKV77UNZC","P2P Micro-Gift","100.00 XLM","a000024cb0169429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GDITF4MKHIIAZ2FVCVTY3UVHJ6PDTG2BNNAGA7MODWLBTRJCKV77UNZC"
6,"GBYHKEYCYLCF6JTM3FPCVGOVVQS4JU7FEKGTVRQT7CWJHHDK6F5MW4UV","Soroban Execution","100.00 XLM","a00002c26ce7e429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GBYHKEYCYLCF6JTM3FPCVGOVVQS4JU7FEKGTVRQT7CWJHHDK6F5MW4UV"
7,"GAGHIP2SPBSLLF7CGQSF7INXTDRBZ337ZWROB5LQVEA2UU3GS55OXLGH","Gullak Vault Deposit","100.00 XLM","a000033829b93429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAGHIP2SPBSLLF7CGQSF7INXTDRBZ337ZWROB5LQVEA2UU3GS55OXLGH"
8,"GBQHHOH72M522QBF7SMY57JH6FIN7YKTZUWSO4S5IFBXV3B7FI2UQLIQ","sXAU Metals Swap","0.0400 sXAU","a00003ade68a8429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GBQHHOH72M522QBF7SMY57JH6FIN7YKTZUWSO4S5IFBXV3B7FI2UQLIQ"
9,"GCD3R553QLACQJ3NG6JDB6K5HYDDO75YZDJGA6WKUOBO7PAOG7AWSQMU","sXAG Metals Swap","25.00 sXAG","a0000069f6bbe429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCD3R553QLACQJ3NG6JDB6K5HYDDO75YZDJGA6WKUOBO7PAOG7AWSQMU"
10,"GCA3BIOVQIDXEFI5HH5NXRMCLKU5B3NLCT54QCZVXV3O6WZWS63KWZHJ","USDC Collateral Loan","50.00 USDC","a00000dfb38d3429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCA3BIOVQIDXEFI5HH5NXRMCLKU5B3NLCT54QCZVXV3O6WZWS63KWZHJ"
11,"GAEQ5IUNQTW36XMQF6MR2VWKPG3JOF6IKEGAD2JQ6OUNKTUVBAIE5AO3","P2P Micro-Gift","100.00 XLM","a0000155705e8429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAEQ5IUNQTW36XMQF6MR2VWKPG3JOF6IKEGAD2JQ6OUNKTUVBAIE5AO3"
12,"GDLHEASUJPHUK5C2MUWJSCN6R3DPQVJUFU2ZMFHDJUHE77RX3TP3COGZ","Soroban Execution","100.00 XLM","a00001cb2d2fd429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GDLHEASUJPHUK5C2MUWJSCN6R3DPQVJUFU2ZMFHDJUHE77RX3TP3COGZ"
13,"GAPNX3Q6WZ5JN7OO2WHZ52ZCPZ6US4NYXB4EW6I7NMVIU6FT7TZIUOXH","Gullak Vault Deposit","100.00 XLM","a0000240ea012429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAPNX3Q6WZ5JN7OO2WHZ52ZCPZ6US4NYXB4EW6I7NMVIU6FT7TZIUOXH"
14,"GCLWKHHHGBOYXMTSFBJNGCFEWIQ4NZWAGZR6GPB4NLMSLBYW4UP3N4SQ","sXAU Metals Swap","0.0500 sXAU","a00002b6a6d27429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GCLWKHHHGBOYXMTSFBJNGCFEWIQ4NZWAGZR6GPB4NLMSLBYW4UP3N4SQ"
15,"GDITF4MKHIIAZ2FVCVTY3UVHJ6PDTG2BNNAGA7MODWLBTRJCKV77UNZC","sXAG Metals Swap","5.00 sXAG","a000032c63a3c429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GDITF4MKHIIAZ2FVCVTY3UVHJ6PDTG2BNNAGA7MODWLBTRJCKV77UNZC"
16,"GBYHKEYCYLCF6JTM3FPCVGOVVQS4JU7FEKGTVRQT7CWJHHDK6F5MW4UV","USDC Collateral Loan","100.00 USDC","a00003a220751429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GBYHKEYCYLCF6JTM3FPCVGOVVQS4JU7FEKGTVRQT7CWJHHDK6F5MW4UV"
17,"GAGHIP2SPBSLLF7CGQSF7INXTDRBZ337ZWROB5LQVEA2UU3GS55OXLGH","P2P Micro-Gift","100.00 XLM","a000005e30a67429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GAGHIP2SPBSLLF7CGQSF7INXTDRBZ337ZWROB5LQVEA2UU3GS55OXLGH"
18,"GBQHHOH72M522QBF7SMY57JH6FIN7YKTZUWSO4S5IFBXV3B7FI2UQLIQ","Soroban Execution","100.00 XLM","a00000d3ed77c429dfd14b930a860144e70dcc53fba2de05339b843804782b8e","https://stellar.expert/explorer/testnet/account/GBQHHOH72M522QBF7SMY57JH6FIN7YKTZUWSO4S5IFBXV3B7FI2UQLIQ"
